STUDENTID,EfficientlyCompletedBlockB
2333000033,True
2333000882,True
2333000955,True
2333001552,True
2333001935,True
2333001986,True
2333002087,False
2333002141,True
2333002494,False
2333002672,True
2333002923,True
2333003024,True
2333003181,False
2333003245,True
2333003695,False
2333003776,True
2333003971,True
2333004276,True
2333004381,False
2333004578,True
2333004721,False
2333005566,True
2333005825,False
2333006503,True
2333008034,True
2333008239,True
2333008468,True
2333008484,False
2333008492,True
2333008565,True
2333008646,True
2333008719,True
2333008816,False
2333008905,True
2333009154,True
2333009821,False
2333010772,False
2333011710,False
2333012457,False
2333013585,False
2333013909,True
2333014344,False
2333014689,True
2333014948,True
2333015006,True
2333015707,True
2333015880,True
2333016134,True
2333016541,True
2333016797,False
2333017157,False
2333017327,True
2333017424,True
2333017483,True
2333017831,False
2333018331,False
2333018676,False
2333019036,True
2333019711,False
2333019788,False
2333020280,True
2333020476,True
2333020905,True
2333021014,True
2333021235,True
2333021260,True
2333021316,False
2333021413,False
2333021766,False
2333021928,True
2333022088,True
2333022100,True
2333023378,True
2333023548,False
2333023769,True
2333023955,True
2333024218,True
2333024498,False
2333024901,True
2333024994,True
2333025761,True
2333026181,False
2333026440,True
2333026512,False
2333026695,False
2333027047,False
2333027632,False
2333028558,False
2333028655,True
2333028752,True
2333028841,False
2333028931,False
2333029261,True
2333029341,False
2333029350,False
2333029759,True
2333029953,False
2333031389,True
2333031630,True
2333031729,False
2333032644,True
2333032911,True
2333032997,False
2333033276,False
2333033420,False
2333033519,True
2333033675,True
2333033861,True
2333034027,False
2333034116,True
2333034361,True
2333034523,False
2333034817,False
2333034965,False
2333035058,False
2333035309,True
2333035635,True
2333036071,True
2333036224,True
2333036321,True
2333036488,True
2333037174,True
2333037328,False
2333037352,True
2333037514,True
2333037611,True
2333037859,False
2333037867,False
2333038022,False
2333038707,True
2333039118,True
2333039304,True
2333039398,True
2333039967,False
2333042283,False
2333042542,True
2333042631,False
2333042704,False
2333043051,True
2333043298,False
2333043441,False
2333043638,False
2333043999,False
2333044588,True
2333044677,False
2333045029,False
2333045681,False
2333045789,True
2333045975,True
2333046190,True
2333046441,True
2333046530,False
2333046637,True
2333047471,False
2333047668,False
2333048079,False
2333048761,False
2333049172,True
2333049211,True
2333050308,True
2333050405,True
2333050626,False
2333050961,True
2333051568,True
2333052599,False
2333052670,False
2333052751,True
2333053102,True
2333053269,True
2333053617,False
2333053790,False
2333054206,True
2333054362,True
2333054494,False
2333054559,True
2333054711,True
2333055067,True
2333055091,True
2333055318,True
2333055393,False
2333055580,False
2333055652,True
2333055695,False
2333055741,False
2333056683,False
2333056845,False
2333056853,False
2333056861,False
2333056942,True
2333056951,False
2333057108,True
2333057132,True
2333057191,False
2333057451,False
2333057469,False
2333057493,False
2333057701,True
2333057710,True
2333057736,True
2333058040,True
2333058082,False
2333058201,True
2333058295,True
2333058392,False
2333058554,True
2333058562,True
2333058589,True
2333058821,True
2333059232,False
2333059321,False
2333059488,False
2333059640,True
2333059925,True
2333060176,False
2333060729,True
2333061181,True
2333061296,False
2333062829,False
2333063124,True
2333063574,False
2333064422,False
2333064953,True
2333065364,False
2333065950,True
2333066999,False
2333067073,True
2333067154,True
2333067502,False
2333067669,True
2333068266,False
2333068291,False
2333068967,False
2333069467,True
2333069645,True
2333069904,False
2333069980,False
2333070040,True
2333070091,True
2333070406,False
2333070414,True
2333070554,False
2333070694,False
2333070759,True
2333070805,True
2333070937,False
2333071089,True
2333071151,False
2333071330,True
2333071496,True
2333071682,True
2333072000,False
2333072093,False
2333072247,False
2333072271,True
2333072352,True
2333072387,False
2333072531,True
2333072875,False
2333073031,True
2333073138,True
2333073294,False
2333073472,True
2333073570,False
2333073880,True
2333074045,False
2333074231,False
2333074487,True
2333074746,False
2333075076,False
2333075688,True
2333076111,False
2333076625,True
2333076714,True
2333076871,True
2333079179,False
2333079268,True
2333079276,False
2333079373,True
2333079608,False
2333080525,True
2333080860,True
2333081211,False
2333081301,True
2333081394,True
2333081742,True
2333081998,False
2333082498,True
2333083109,True
2333083168,True
2333083257,True
2333083788,False
2333084032,True
2333084199,False
2333084440,True
2333084806,False
2333085047,False
2333085641,False
2333085730,False
2333087082,False
2333087198,False
2333087201,False
2333087287,True
2333087881,True
2333088143,True
2333088275,True
2333088399,False
2333088445,False
2333088470,True
2333088496,True
2333088534,False
2333088542,False
2333088810,True
2333088828,True
2333089069,True
2333089077,False
2333089484,True
2333089581,True
2333089760,False
2333090831,True
2333091365,True
2333091616,True
2333091951,False
2333092035,True
2333092302,True
2333092973,False
2333093066,True
2333093724,False
2333093856,True
2333094003,True
2333094348,False
2333094356,True
2333094674,True
2333095263,False
2333095361,True
2333095794,True
2333096201,True
2333097096,True
2333097657,True
2333098432,True
2333099005,True
2333099285,False
2333099358,True
2333099374,False
2333099447,True
2333099625,False
2333100038,True
2333100135,False
2333100801,True
2333100984,True
2333101336,True
2333101832,True
2333101999,True
2333102090,True
2333102171,True
2333102260,True
2333102936,True
2333102979,True
2333103878,False
2333104483,True
2333104637,False
2333104726,False
2333104823,True
2333105013,True
2333105315,False
2333105579,False
2333106010,True
2333106354,False
2333107628,False
2333107768,True
2333108829,False
2333109001,False
2333109451,False
2333109663,True
2333109761,True
2333110858,False
2333111293,True
2333111366,True
2333111455,True
2333111790,False
2333111986,False
2333112397,True
2333112745,True
2333112907,True
2333112931,True
2333113245,False
2333113334,True
2333114021,True
2333114101,True
2333114438,True
2333115043,True
2333115558,True
2333115825,False
2333115884,False
2333116040,True
2333116236,False
2333116333,True
2333116392,True
2333116660,True
2333117836,True
2333118026,False
2333118522,True
2333118620,True
2333118964,True
2333119120,True
2333119413,False
2333119634,False
2333119812,True
2333119979,False
2333120071,False
2333120721,True
2333120837,False
2333121108,True
2333121779,False
2333121850,True
2333121949,True
2333122015,False
2333122465,True
2333122520,False
2333122619,True
2333122651,False
2333122805,True
2333123305,True
2333123399,True
2333123551,True
2333123909,True
2333123992,True
2333124166,True
2333124409,True
2333125359,True
2333126002,False
2333126380,False
2333126444,True
2333127050,False
2333127483,True
2333127637,False
2333128170,False
2333128935,True
2333129346,True
2333129451,True
2333129541,True
2333129630,True
2333129681,True
2333129788,True
2333129982,False
2333130034,True
2333130042,False
2333130140,True
2333130727,False
2333130972,False
2333131286,False
2333131472,False
2333131821,True
2333131987,False
2333132339,False
2333132517,True
2333132584,False
2333132614,False
2333133114,True
2333133963,False
2333134374,False
2333134463,True
2333134625,False
2333135061,True
2333135401,True
2333135508,False
2333135567,True
2333137012,True
2333137110,True
2333137799,True
2333140340,True
2333140447,True
2333140692,False
2333141451,True
2333141532,False
2333141737,True
2333142148,False
2333142393,True
2333143071,True
2333143322,True
2333143420,True
2333143527,False
2333143675,False
2333144370,True
2333144523,False
2333144591,False
2333144671,True
2333144841,True
2333144973,True
2333145791,False
2333146313,False
2333146739,True
2333146810,False
2333146917,False
2333146984,False
2333147018,False
2333147328,False
2333147573,True
2333147671,False
2333147832,False
2333148260,True
2333148511,False
2333149461,False
2333149541,True
2333150817,True
2333150990,True
2333151155,False
2333151341,False
2333151503,False
2333151759,True
2333152194,True
2333152445,False
2333152763,True
2333152895,False
2333152950,True
2333153042,True
2333153387,False
2333154081,False
2333154405,True
2333154642,True
2333156092,True
2333156246,True
2333156785,True
2333157137,False
2333157145,False
2333157226,False
2333158044,True
2333158320,True
2333158397,True
2333159083,True
2333159687,True
2333160197,True
2333160464,True
2333160782,True
2333161134,True
2333161215,True
2333161975,True
2333162076,True
2333162661,False
2333163005,True
2333163269,True
2333163421,True
2333163528,False
2333164613,False
2333165393,True
2333165903,True
2333166152,False
2333166314,True
2333166691,True
2333166993,True
2333167256,True
2333168198,False
2333168368,True
2333168384,True
2333169143,False
2333169640,False
2333169801,True
2333170338,True
2333170494,True
2333170834,False
2333171181,True
2333171270,False
2333171342,False
2333171598,False
2333171971,False
2333172446,True
2333172471,True
2333172578,True
2333172632,True
2333172721,False
2333173060,True
2333174767,False
2333175534,False
2333175704,True
2333175925,True
2333176221,False
2333176379,True
2333176417,True
2333177227,True
2333177561,True
2333177723,False
2333177910,False
2333178070,False
2333178096,True
2333178452,False
2333178754,True
2333179262,True
2333180201,False
2333180309,True
2333181569,True
2333181691,True
2333181755,True
2333182093,False
2333182158,False
2333182506,True
2333182689,False
2333182786,False
2333183103,True
2333183731,True
2333183880,False
2333184339,False
2333184894,True
2333185041,False
2333185076,False
2333185327,True
2333185998,True
2333186170,True
2333186340,True
2333186374,False
2333187036,True
2333187460,True
2333189578,True
2333190100,True
2333190355,True
2333190436,True
2333191653,False
2333191807,True
2333192315,False
2333192561,True
2333192820,True
2333193079,True
2333193419,True
2333193761,True
2333194601,False
2333194792,True
2333195748,True
2333195896,True
2333196094,True
2333197180,True
2333198437,True
2333198534,True
2333198941,False
2333199042,True
2333199298,False
2333199638,True
2333199883,True
2333200075,True
2333200571,False
2333200776,True
2333202469,True
2333202884,False
2333203414,True
2333203635,False
2333203724,True
2333204488,True
2333204577,True
2333204836,True
2333205018,True
2333205107,True
2333205352,True
2333205425,False
2333205859,True
2333206201,True
2333206413,True
2333206553,False
2333207223,True
2333209005,False
2333209251,False
2333209358,True
2333209447,False
2333209510,False
2333210003,False
2333210038,True
2333210364,False
2333210399,False
2333210453,False
2333210542,True
2333210640,True
2333210712,False
2333210739,False
2333210895,True
2333210950,False
2333211093,False
2333211239,False
2333211301,True
2333211395,False
2333212154,False
2333212421,True
2333213029,True
2333213347,True
2333214335,False
2333214441,True
2333214637,True
2333214971,True
2333215234,True
2333215285,True
2333215587,True
2333215731,False
2333215749,False
2333216371,False
2333216427,True
2333216516,True
2333216583,True
2333217024,False
2333217083,True
2333217458,True
2333217687,False
2333218403,False
2333219159,False
2333219418,True
2333219566,False
2333219914,True
2333220254,True
2333220564,False
2333220858,True
2333221013,False
2333221200,True
2333221951,True
2333222206,True
2333222711,False
2333222800,False
2333223318,True
2333223393,True
2333223563,False
2333223741,False
2333225353,False
2333225451,False
2333225493,True
2333225531,True
2333225736,False
2333226309,True
2333226481,False
2333226589,True
2333227089,True
2333227143,True
2333227330,False
2333227429,True
2333228263,True
2333228689,True
2333228930,False
2333229715,True
2333229880,True
2333230063,True
2333231329,False
2333231671,False
2333232015,True
2333232619,True
2333232805,True
2333233020,True
2333233810,False
2333234310,True
2333234654,False
2333234743,True
2333235154,True
2333235251,False
2333235669,True
2333235855,True
2333236444,False
2333237114,True
2333237203,False
2333237386,False
2333237491,True
2333237718,True
2333238404,True
2333238650,True
2333239346,True
2333239401,True
2333239435,True
2333239931,True
2333240026,True
2333240093,True
2333240697,False
2333242991,True
2333243173,True
2333243246,False
2333244111,False
2333244277,True
2333244374,True
2333244528,False
2333244625,True
2333244714,False
2333244781,True
2333244790,True
2333244871,True
2333245061,True
2333245141,False
2333245311,False
2333245729,False
2333245818,False
2333245931,False
2333246164,True
2333246253,True
2333246504,False
2333246911,True
2333246920,True
2333247101,False
2333247161,True
2333247209,True
2333247357,False
2333247535,False
2333247616,False
2333247926,False
2333248272,False
2333248361,False
2333248469,False
2333248876,True
2333249058,True
2333249147,True
2333249210,False
2333249554,False
2333249902,False
2333250064,False
2333250315,True
2333250412,True
2333250501,True
2333250595,False
2333251621,True
2333251656,True
2333251702,True
2333251893,True
2333252385,True
2333252491,False
2333253802,True
2333253900,True
2333253993,False
2333254086,True
2333254591,True
2333254604,True
2333254841,True
2333255091,True
2333255139,True
2333256933,True
2333257140,True
2333258863,False
2333259029,False
2333259037,False
2333259703,True
2333259819,True
2333260213,True
2333260370,False
2333260566,True
2333260876,True
2333263875,True
2333264146,True
2333265568,True
2333265657,True
2333265843,True
2333265916,True
2333266505,False
2333267544,True
2333267625,True
2333268133,False
2333268290,True
2333268800,False
2333268893,False
2333269041,False
2333269156,False
2333269491,True
2333269938,True
2333271461,True
2333271797,False
2333272327,False
2333272912,False
2333273170,True
2333273323,True
2333273480,False
2333274010,False
2333274176,True
2333274818,False
2333275024,True
2333275385,False
2333275466,True
2333275628,True
2333275903,True
2333276071,True
2333276128,True
2333276748,True
2333276829,True
2333277078,True
2333277256,False
2333277507,True
2333278104,True
2333278449,False
2333279381,True
2333279453,True
2333279496,True
2333280052,False
2333280249,True
2333280583,True
2333281245,False
2333281431,True
2333281601,True
2333281750,True
2333282021,True
2333282446,True
2333282799,True
2333283132,False
2333283205,True
2333283477,True
2333284147,True
2333285071,True
2333285330,True
2333285372,False
2333285771,False
2333285941,True
2333286026,False
2333286379,True
2333286468,True
2333286565,True
2333286883,True
2333287634,True
2333287821,True
2333287880,True
2333288169,True
2333288231,True
2333288410,True
2333288509,False
2333288916,True
2333289262,True
2333289351,False
2333289955,True
2333290058,True
2333290465,False
2333290651,False
2333290805,False
2333291402,True
2333291470,True
2333291658,True
2333291852,False
2333292310,True
2333292506,True
2333292948,True
2333293006,True
2333293197,False
2333296188,False
2333296251,True
2333296439,False
2333296536,True
2333296609,True
2333296935,False
2333296943,True
2333297036,True
2333297125,False
2333297346,True
2333297605,True
2333297630,True
2333297702,True
2333298296,True
2333298482,False
2333298547,False
2333298890,False
2333298971,True
2333299063,True
2333299179,True
2333300011,False
2333300347,True
2333300517,False
2333300673,True
2333300860,False
2333300924,False
2333301114,True
2333301521,False
2333301629,False
2333301700,False
2333301785,False
2333301815,False
2333301963,True
2333302030,True
2333302374,True
2333302463,True
2333302901,True
2333303150,True
2333303231,True
2333303311,False
2333303664,False
2333304172,True
2333304458,True
2333304466,False
2333305012,True
2333305951,True
2333306141,False
2333306159,False
2333306566,True
2333307155,True
2333307490,True
2333307759,False
2333308097,True
2333308101,True
2333308593,False
2333309034,True
2333309298,True
2333309450,False
2333309701,True
2333309794,False
2333310202,False
2333310237,False
2333310253,True
2333310300,False
2333310318,True
2333310571,False
2333310644,True
2333310911,True
2333311250,True
2333312353,False
2333312621,False
2333313031,True
2333313821,True
2333314135,True
2333314224,True
2333314631,False
2333314828,False
2333315247,False
2333315263,False
2333315328,True
2333315425,True
2333315514,True
2333316511,False
2333316774,False
2333317029,False
2333317126,True
2333317371,True
2333317461,False
2333317631,True
2333318122,True
2333318220,True
2333318742,True
2333318963,True
2333319269,False
2333319455,False
2333321115,True
2333321301,False
2333322499,True
2333322596,False
2333322804,False
2333323096,True
2333323118,True
2333323509,False
2333324602,True
2333324637,True
2333324734,False
2333324793,True
2333324971,True
2333325226,True
2333325480,False
2333325633,True
2333325820,True
2333325927,True
2333326141,True
2333327083,True
2333327130,True
2333327245,False
2333327334,True
2333327938,True
2333328128,False
2333328331,True
2333328713,True
2333329035,True
2333329078,True
2333329132,True
2333329221,True
2333329728,False
2333329884,False
2333329922,True
2333329981,False
2333329990,False
2333330165,False
2333330238,True
2333330424,True
2333330513,True
2333330581,True
2333330777,False
2333330785,False
2333330831,True
2333331081,False
2333331421,False
2333331439,True
2333331536,False
2333332206,True
2333332303,False
2333332559,False
2333332711,False
2333332800,False
2333332974,True
2333333148,True
2333333253,False
2333333555,True
2333336198,True
2333336457,True
2333336465,False
2333336481,False
2333336554,True
2333336805,False
2333336899,True
2333337836,True
2333337992,True
2333338255,False
2333339286,True
2333339375,False
2333339537,True
2333339596,True
2333339944,False
2333340225,True
2333340471,False
2333340543,True
2333340888,True
2333341396,False
2333342678,False
2333343020,False
2333343046,False
2333343437,True
2333344123,True
2333344476,True
2333344484,True
2333344824,False
2333346762,True
2333346851,True
2333346924,True
2333347017,False
2333347203,True
2333347521,True
2333347548,True
2333348145,True
2333348463,True
2333348552,False
2333348650,True
2333349842,True
2333350263,True
2333350514,False
2333350590,False
2333350859,True
2333350956,True
2333351049,True
2333351103,True
2333351201,False
2333351367,False
2333351448,True
2333352045,True
2333352398,True
2333352738,False
2333352827,True
2333353238,True
2333353530,False
2333354340,True
2333355192,True
2333355281,True
2333355541,True
2333355974,True
2333356130,False
2333356172,False
2333356385,False
2333356911,True
2333356997,False
2333357268,True
2333357420,False
2333357489,False
2333357519,False
2333357934,False
2333358213,False
2333358329,True
2333358515,True
2333358621,False
2333358817,True
2333359465,True
2333359554,True
2333359627,False
2333359902,False
2333360854,True
2333361079,False
2333361168,True
2333361320,False
2333361516,True
2333361605,True
2333361770,False
2333362521,False
2333362709,True
2333362865,False
2333363110,True
2333363390,False
2333363497,True
2333363641,True
2333365244,True
2333365431,True
2333365848,True
2333365945,True
2333366445,True
2333366607,True
2333366798,True
2333367131,True
2333367221,True
2333367638,True
2333368499,True
2333368677,False
2333368928,True
2333369088,False
2333369371,False
2333369525,True
2333370574,False
2333371660,True
2333372071,False
2333372577,True
2333372615,True
2333373212,True
2333373361,True
2333373867,True
2333374022,True
2333374201,False
2333374308,True
2333376343,True
2333376360,True
2333376670,True
2333376947,True
2333377005,True
2333377145,False
2333377358,True
2333377366,True
2333377455,False
2333377471,True
2333377692,False
2333378052,True
2333378494,True
2333378711,True
2333379237,True
2333379261,False
2333379504,True
2333379580,False
2333379644,False
2333379652,False
2333379849,True
2333379903,False
2333379920,False
2333380537,False
2333382131,True
2333382203,True
2333382793,False
2333382891,True
2333383081,True
2333383731,True
2333384346,False
2333384427,True
2333384842,True
2333384877,False
2333384923,True
2333385288,False
